freq	db(AC.Vout1/(AC.VinPos-AC.VinNeg))
6.30957344498256667E3	1.37607326298730626E-3
6.45654229053178152E3	1.37580048231460994E-3
6.60693448026589447E3	1.37551477834002300E-3
6.76082975411457987E3	1.37521557744575684E-3
6.91830970938907619E3	1.37490218950685339E-3
7.07945784404616507E3	1.37457394295276680E-3
7.24435960095988918E3	1.37423014963861112E-3
7.41310241322449581E3	1.37387004714312821E-3
7.58577575051262709E3	1.37349287955881039E-3
7.76247116651331215E3	1.37309781449762913E-3
7.94328234747495809E3	1.37268402430925418E-3
8.12830516187902674E3	1.37225057562898933E-3
8.31763771127078577E3	1.37179656252260807E-3
8.51138038227403193E3	1.37132096596550990E-3
8.70963589981742281E3	1.37082280585068705E-3
8.91250938160057871E3	1.37030096540466628E-3
9.12010839382889316E3	1.36975430927385822E-3
9.33254300824654948E3	1.36918165884355503E-3
9.54992586049801062E3	1.36858174105944874E-3
9.77237220984894961E3	1.36795328301318242E-3
1.00000000002982103E4	1.36729488326150062E-3
1.02329299231133097E4	1.36660511913891258E-3
1.04712854808225120E4	1.36588247739482660E-3
1.07151930526975203E4	1.36512537106653697E-3
1.09647819617614495E4	1.36433210513903758E-3
1.12201845433575786E4	1.36350098585933610E-3
1.14815362153153311E4	1.36263014050485443E-3
1.17489755497505688E4	1.36171765911138976E-3
1.20226443465383959E4	1.36076152048018040E-3
1.23026877084972996E4	1.35975960957342235E-3
1.25892541183246065E4	1.35870968936400494E-3
1.28824955173239641E4	1.35760943510409260E-3
1.31825673859666237E4	1.35645638642463107E-3
1.34896288263292696E4	1.35524795682261567E-3
1.38038426464520203E4	1.35398143825611905E-3
1.41253754466614145E4	1.35265399412481457E-3
1.44543977079041119E4	1.35126262200037361E-3
1.47910838821381563E4	1.34980417657933760E-3
1.51356124848296902E4	1.34827536544616433E-3
1.54881661896042377E4	1.34667270813770945E-3
1.58489319251026695E4	1.34499254067054697E-3
1.62181009740932547E4	1.34323103426289925E-3
1.65958690748922844E4	1.34138413543935431E-3
1.69824365251471709E4	1.33944760296986365E-3
1.73780082880368592E4	1.33741695085528600E-3
1.77827941009460422E4	1.33528747966246097E-3
1.81970085866707021E4	1.33305422384838579E-3
1.86208713672139470E4	1.33071195954216748E-3
1.90546071802325168E4	1.32825518895711592E-3
1.94984459981956393E4	1.32567812157465137E-3
1.99526231503194995E4	1.32297465370633693E-3
2.04173794473419079E4	1.32013834224946836E-3
2.08929613092033239E4	1.31716241002714618E-3
2.13796208957019562E4	1.31403969796326159E-3
2.18776162401923013E4	1.31076266640351680E-3
2.23872113863977340E4	1.30732334531148631E-3
2.29086765284100746E4	1.30371333431841596E-3
2.34422881539500239E4	1.29992375001272453E-3
2.39883291909646257E4	1.29594522845565052E-3
2.45470891576394168E4	1.29176786695114298E-3
2.51188643159047942E4	1.28738119511880189E-3
2.57039578285180026E4	1.28277415433941444E-3
2.63026799198040750E4	1.27793504161391214E-3
2.69153480401408274E4	1.27285147601264725E-3
2.75422870342752812E4	1.26751035400318646E-3
2.81838293135606488E4	1.26189780769894888E-3
2.88403150322052282E4	1.25599914322751305E-3
2.95120922676266551E4	1.24979878849890502E-3
3.01995172050071847E4	1.24328024371514179E-3
3.09029543261477668E4	1.23642600542525605E-3
3.16227766027211121E4	1.22921750265656282E-3
3.23593656940262386E4	1.22163503015784514E-3
3.31131121493492708E4	1.21365765600513753E-3
3.38844156150378240E4	1.20526315047009969E-3
3.46736850463988366E4	1.19642787934057870E-3
3.54813389245320199E4	1.18712671573800810E-3
3.63078054782141280E4	1.17733292920826815E-3
3.71535229109515175E4	1.16701806571353894E-3
3.80189396333213958E4	1.15615182765958169E-3
3.89045145007251270E4	1.14470193668926856E-3
3.98107170566793789E4	1.13263397952141975E-3
4.07380277817743242E4	1.11991126370280725E-3
4.16869383484308287E4	1.10649463187693509E-3
4.26579518815916447E4	1.09234228582382609E-3
4.36515832254849379E4	1.07740957229316736E-3
4.46683592166015320E4	1.06164878023236997E-3
4.57088189630305131E4	1.04500888796534874E-3
4.67735141303015567E4	1.02743531678658440E-3
4.78630092338852720E4	1.00886964349135222E-3
4.89778819385067443E4	9.89249302999788149E-4
5.01187233644310659E4	9.68507260378910040E-4
5.12861384008830701E4	9.46571642471459818E-4
5.24807460267676440E4	9.23365361009818564E-4
5.37031796388605720E4	8.98805682090338287E-4
5.49540873876437885E4	8.72803770574310889E-4
5.62341325209634046E4	8.45264187945921996E-4
5.75439937356925491E4	8.16084347517796083E-4
5.88843655375853103E4	7.85153926135874425E-4
6.02559586095129784E4	7.52354214517568742E-4
6.16595001882774785E4	7.17557418488429377E-4
6.30957344502019346E4	6.80625890944396161E-4
6.45654229057028584E4	6.41411301398670197E-4
6.60693448030529673E4	5.99753727802600967E-4
6.76082975415489962E4	5.55480664306930905E-4
6.91830970943033474E4	5.08405944046591873E-4
7.07945784408838374E4	4.58328562148070962E-4
7.24435960100309195E4	4.05031389774693462E-4
7.41310241326870489E4	3.48279776790676010E-4
7.58577575055786468E4	2.87820018926013699E-4
7.76247116655960401E4	2.23377694825974427E-4
7.94328234752232731E4	1.54655842591744985E-4
8.12830516192749819E4	8.13329719523710004E-5
8.31763771132038698E4	3.06089562152754180E-6
8.51138038232479133E4	-8.05376434063906288E-5
